Company,Rating,Reviews,Service_Type,Headquarters
TCS,3.3,1.2L,IT Services & Consulting,Bengaluru
Accenture,3.7,75.3k,IT Services & Consulting,Bengaluru
Wipro,3.6,66.5k,IT Services & Consulting,Hyderabad
Cognizant,3.7,62.8k,IT Services & Consulting,Hyderabad
Capgemini,3.6,54.9k,IT Services & Consulting,Bengaluru
HDFC Bank,3.8,54k,Banking,Mumbai
Infosys,3.5,50k,IT Services & Consulting,Bengaluru
HCLTech,3.4,47.1k,IT Services & Consulting,Chennai
ICICI Bank,3.9,46.8k,Banking,Mumbai
Tech Mahindra,3.3,44.3k,IT Services & Consulting,Hyderabad
Genpact,3.6,43.5k,Analytics & KPO,Hyderabad
TP,3.9,39.7k,BPO,Mumbai
Axis Bank,3.6,34.2k,Banking,Mumbai
Jio,4.4,34.1k,Telecom,Mumbai
Concentrix Corporation,3.5,33k,BPO,Bengaluru
Amazon,3.9,32.4k,Internet,Bengaluru
Reliance Retail,3.9,27.8k,Retail,Mumbai
iEnergizer,4.6,27.6k,BPO,Noida
LTM Limited,3.6,27.1k,IT Services & Consulting,Bengaluru
HDB Financial Services,3.9,26.3k,NBFC,Mumbai
IBM,3.9,26.3k,IT Services & Consulting,Bengaluru
Larsen & Toubro Limited,3.9,24.5k,Engineering & Construction,Mumbai
Deloitte,3.6,24k,Management Consulting,Hyderabad
Kotak Mahindra Bank,3.6,23.1k,Banking,Mumbai
Reliance Industries,4.0,20.7k,Oil & Gas,Jamnagar
Vodafone Idea,3.9,17.9k,Telecom,Pune
Bharti Airtel,3.8,17.4k,Telecom,Gurugram
BYJU'S,3.2,16.4k,EdTech,Bengaluru
WNS,3.3,15.6k,IT Services & Consulting,Pune
IDFC FIRST Bank,4.0,15.3k,Banking,Mumbai
Ernst & Young,3.4,15k,Management Consulting,Bengaluru
IndusInd Bank,3.4,14.6k,Banking,Mumbai
AU Small Finance Bank,3.8,14.6k,Banking,Jaipur
Tata Motors,4.1,14.5k,Automobile,Pune
Bajaj Finserv,3.9,13.6k,NBFC,Pune
Muthoot FinCorp,4.5,13.3k,NBFC,Bengaluru
Flipkart,3.9,13.3k,Internet,Bengaluru
PwC,3.3,13.1k,Management Consulting,Bengaluru
HDFC Life,3.8,12.4k,Insurance,Mumbai
Mahindra & Mahindra,4.0,12.4k,Automobile,Pune
Infosys BPM,3.5,12.4k,BPO,Bengaluru
DXC Technology,3.6,12.2k,IT Services & Consulting,Bengaluru
Bandhan Bank,3.7,11.6k,Banking,Kolkata
Digitide Solutions,3.4,10.6k,IT Services & Consulting,Hyderabad
Yes Bank,3.7,10.5k,Banking,Mumbai
Mphasis,3.3,10.5k,IT Services & Consulting,Bengaluru
Tata Steel,4.0,10.2k,Iron & Steel,Jamshedpur
Quess,3.8,10k,Recruitment,Bengaluru
Asian Paints,3.9,9.9k,Chemicals,Mumbai
UltraTech Cement,4.1,9.8k,Building Material,Mumbai
Startek,3.0,9.8k,BPO,Bengaluru
Maruti Suzuki,4.1,9.8k,Automobile,Gurugram
Paytm,3.2,9.6k,FinTech,Noida
Bajaj Finance,3.9,9.5k,NBFC,Pune
Shriram Finance,3.9,9.4k,NBFC,Chennai
Sutherland Global Services,3.3,9.3k,BPO,Chennai
Equitas Small Finance Bank,4.3,9.1k,Banking,Chennai
Coforge,3.3,9.1k,IT Services & Consulting,Hyderabad
Wells Fargo,3.6,9k,Financial Services,Bengaluru
Cipla,4.1,8.8k,Pharma,Mumbai
EXL Service,3.6,8.8k,Analytics & KPO,Noida
Ericsson,3.9,8.6k,Telecom,Noida
Samsung,3.9,8.5k,Consumer Electronics & Appliances,Noida
Dr. Reddy's,4.0,8.4k,Pharma,Hyderabad
Optum Global Solutions,4.0,8.2k,IT Services & Consulting,Hyderabad
JSW Steel,3.9,8.1k,Iron & Steel,Ballari
Delhivery,3.8,8k,Logistics,Gurugram
JPMorgan Chase & Co.,3.8,8k,Financial Services,Bengaluru
ICICI Prudential Life Insurance,3.9,7.9k,Insurance,Mumbai
Hexaware Technologies,3.4,7.9k,IT Services & Consulting,Chennai
Ujjivan Small Finance Bank,4.0,7.9k,Banking,Bengaluru
Sun Pharmaceutical Industries,4.0,7.8k,Pharma,Vadodara
Jana Small Finance Bank,3.7,7.8k,Banking,Bengaluru
Zydus Lifesciences,4.0,7.8k,Pharma,Ahmedabad
Ekart Logistics,3.9,7.7k,Logistics,Bengaluru
HGS,3.7,7.6k,Emerging Technologies,Bengaluru
KPMG India,3.4,7.6k,Management Consulting,Bengaluru
Amazon Development Centre India,3.8,7.5k,Internet,Hyderabad
Lupin,4.1,7.5k,Pharma,Pune
Axis Max Life Insurance,4.0,7.5k,Insurance,New Delhi
L&T Construction,4.0,7.4k,Engineering & Construction,Chennai
ITC,3.8,7.4k,FMCG,Bengaluru
Hindustan Unilever,4.2,7.3k,FMCG,Mumbai
Megha Engineering & Infrastructures,3.9,7.2k,Engineering & Construction,Hyderabad
Tata Projects,4.2,7k,Engineering & Construction,Mumbai
Cholamandalam Investment & Finance,3.8,6.9k,Financial Services,Chennai
Bajaj Life Insurance,3.8,6.9k,Insurance,Pune
L&T Technology Services,3.1,6.8k,IT Services & Consulting,Bengaluru
FIS,3.7,6.7k,FinTech,Pune
Oracle,3.3,6.7k,Software Product,Bengaluru
JLL,4.1,6.6k,Real Estate,Gurugram
Omega Healthcare,3.7,6.6k,BPO,Chennai
Muthoot Finance,3.7,6.6k,NBFC,Bengaluru
eClerx,3.1,6.5k,IT Services & Consulting,Pune
IIFL Finance,4.0,6.5k,NBFC,Mumbai
Indian Army,4.7,6.4k,Defence & Aerospace,New Delhi
DMart,3.9,6.4k,Retail,Mumbai
PolicyBazaar,3.8,6.3k,Internet,Gurugram
Piramal Finance,4.2,6.3k,NBFC,Mumbai
Indiamart Intermesh,3.5,6.3k,Internet,Noida
Virtusa Consulting Services,3.7,6.3k,IT Services & Consulting,Hyderabad
HSBC Group,3.8,6.2k,Financial Services,Bengaluru
SMFG India Credit,3.9,6.2k,NBFC,Mumbai
HCL Group,3.5,6.1k,IT Services & Consulting,Chennai
Access Healthcare,3.7,6.1k,BPO,Chennai
BigBasket,3.9,6k,Internet,Bengaluru
